SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
204251461,HG4,54.1569575,-1.5666498,2
204253021,E17,51.5869039,-0.0207805,2
204253052,PL1,50.3705757,-4.154261,2
204253127,NW10,51.5412842,-0.2480596,2
204253460,CB1,52.1953297,0.1420534,1
204253920,DE73,52.8472038,-1.438215,2
204254383,HA1,51.5799962,-0.3383049,2
204254796,SN13,51.4245832,-2.2124861,1
204255978,SO50,50.9693035,-1.3404267,2
204256687,M15,53.4673852,-2.2514891,2
204256904,HA1,51.5799962,-0.3383049,2
204257061,WA2,53.4108251,-2.5811919,2
204257180,CH41,53.3942234,-3.0326994,1
204257633,TN14,51.2978503,0.1574783,2
204257961,SO32,50.9493624,-1.2031646,2
204258049,SE23,51.4414858,-0.0491513,2
204258295,B72,52.5501949,-1.8219989,2
204258422,WF6,53.7003289,-1.415639,2
204258998,SE1,51.4991997,-0.0916245,2
204259023,SW6,51.4766351,-0.2012224,1
204259490,M40,53.5041026,-2.1909788,2
204259494,W3,51.5106335,-0.2679031,2
204259699,SE9,51.4451387,0.0548051,2
204259802,LA15,54.1558463,-3.1796666,2
204259821,DN5,53.538349,-1.1744232,2
204260566,BA13,51.2621061,-2.1816707,2
204260711,DL3,54.5324842,-1.5715984,2
204260893,TR15,50.2331276,-5.2380409,2
204260896,L33,53.4900539,-2.8768007,1
204260995,SN8,51.4063157,-1.6857426,2
204261200,LS8,53.8247746,-1.5094795,1
204261455,MK1,52.0055233,-0.7243816,2
204261656,NG9,52.9258889,-1.2382797,2
204262550,RG1,51.4512045,-0.9696684,2
204263197,GU16,51.3095532,-0.7260287,2
204263770,TR11,50.1498016,-5.0876959,1
204264298,DA8,51.4757724,0.1758771,2
204264353,BH15,50.7223607,-1.985506,2
204264890,E15,51.5402208,0.0032141,2
