SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
175006154,CH41,53.3942234,-3.0326994,4
175006579,PE9,52.6545544,-0.4804678,3
175006607,CT3,51.2768265,1.2113391,3
175006628,B80,52.2735522,-1.8923001,3
175006734,PO3,50.8162998,-1.059158,4
175007001,N1C,51.5365569,-0.1258562,4
175007276,PL25,50.3413052,-4.7782631,3
175007745,SO31,50.8700098,-1.2998114,3
175009253,KW16,58.9608956,-3.2768723,3
175009302,PH33,56.8218973,-5.1122203,3
175009489,IV26,57.9267694,-5.193821,3
175009771,KW17,59.0364329,-3.0093093,4
175009917,PA27,56.1553315,-5.0860009,4
175010049,FK17,56.2399069,-4.219863,3
175010081,DG6,54.8371503,-4.0555469,4
175010615,SA62,51.841175,-5.0642757,5
175010924,ST3,52.9807695,-2.1231617,5
175011044,PE11,52.8055261,-0.1668409,3
175011533,EC3R,51.5104555,-0.0835753,3
175011843,TS25,54.6630533,-1.2252844,3
175012115,ME15,51.2532135,0.5335779,3
175013126,BS10,51.5067451,-2.610823,3
175013487,LD7,52.351601,-3.0907216,4
175013754,HP27,51.7206955,-0.8325872,4
175013964,DE6,52.9922845,-1.7179509,5
175014027,SN2,51.5777424,-1.7829919,4
175014188,BL2,53.5885067,-2.3950838,4
175014350,IP1,52.0668563,1.13956,3
175014592,PE7,52.5371201,-0.2061648,4
175015522,IG8,51.6100214,0.0381164,4
175015682,BN7,50.877372,-0.0008331,4
175016165,GU4,51.2432497,-0.5403949,4
175016191,SE25,51.3977747,-0.0767868,3
175016386,CM20,51.7753987,0.1026721,3
175016420,GL18,51.9416934,-2.4150411,3
175016669,LL58,53.2820716,-4.0992684,4
175016812,GU8,51.1486935,-0.6446799,3
175017174,BB7,53.8708936,-2.3888971,4
175017425,SG6,51.9790227,-0.2227304,4
175017433,WC1B,51.5194545,-0.1259647,4
175017535,IP16,52.2041101,1.5840513,4
175018589,DE11,52.7727609,-1.556556,3
175018711,YO26,53.9757464,-1.1783526,4
175018755,GU31,50.9969882,-0.90349,4
175019031,PO7,50.8829409,-1.0406889,3
175019888,BN22,50.7896229,0.2838081,3
175020852,E1,51.5173859,-0.0595023,4
175020959,BA22,50.9695037,-2.6381055,3
175021017,SW1Y,51.5074759,-0.1345996,5
175021151,DE6,52.9922845,-1.7179509,4
175022462,NG22,53.1820817,-0.9786955,4
175023376,PL9,50.3547404,-4.087228,5
175023668,WS11,52.6880429,-2.0173886,4
175024173,WA16,53.3030431,-2.3722288,3
175024393,OX18,51.7628074,-1.5916671,4
175024431,BH21,50.8125355,-1.974537,3
175024535,DN11,53.448826,-1.0821884,4
175024733,B3,52.4850123,-1.9024305,4
175024960,GU22,51.3121626,-0.5517403,3
175025133,BN44,50.8910892,-0.322266,4
175026007,N10,51.5948015,-0.1450221,4
175028615,BS30,51.4447118,-2.4713845,4
175028747,LL11,53.0634765,-3.0362413,4
175028803,SE28,51.5023617,0.104435,3
175029126,L3,53.4084083,-2.984451,4
175029374,OX29,51.7940797,-1.435656,4
175030893,HP7,51.6644833,-0.6102425,4
175031242,E1,51.5173859,-0.0595023,4
175031254,PO7,50.8829409,-1.0406889,4
175031352,RM8,51.5572096,0.1293935,3
175032515,HG5,54.013486,-1.4579043,3
175032581,NE31,54.9708203,-1.5132819,3
175033261,WC2R,51.5116889,-0.1183208,3
175033267,B32,52.4486238,-1.9945407,5
175033479,S33,53.3438997,-1.7396963,4
175033538,BN18,50.8476816,-0.5840822,3
175033703,OX29,51.7940797,-1.435656,4
175033824,CV1,52.4094028,-1.5065272,3
175034145,TS13,54.5496921,-0.8541928,3
175034356,NE49,54.9672806,-2.4607532,4
175034621,RH17,51.0223327,-0.1194834,3
175035017,SE26,51.4279399,-0.0547761,3
175036239,G68,55.9529877,-4.0160663,3
175036302,FK20,56.4054262,-4.6401017,4
175036334,PA20,55.8341544,-5.0572403,3
175036629,FK2,56.0050252,-3.7562534,4
175036729,ML3,55.7699883,-4.0550162,3
175037137,G66,55.9404977,-4.153923,4
175037258,AB11,57.1392011,-2.0928839,3
175037637,DG1,55.0735752,-3.5817215,4
175037919,PA42,55.6368001,-6.1894539,4
175038049,ML11,55.6671734,-3.7891903,4
175038226,KW17,59.0364329,-3.0093093,4
175039073,KA30,55.7972875,-4.8634584,4
175039248,IV55,57.4561945,-6.6097781,5
175039321,G4,55.8676044,-4.2523731,3
175039450,SA38,52.0402001,-4.476398,4
175042035,AB53,57.5250408,-2.3937282,3
175043369,SS0,51.546671,0.6877161,3
175043594,PR26,53.6876888,-2.7410845,5
175043838,BS1,51.4532627,-2.5935387,3
175043887,PE29,52.3323569,-0.1792855,3
175044275,EX4,50.7313128,-3.526701,4
175044377,PR2,53.7782025,-2.7072842,3
175045408,ML4,55.8183531,-4.0213658,3
175045992,CF15,51.5333849,-3.271715,3
175047716,SE11,51.4898569,-0.1115597,4
175048471,EX16,50.9226683,-3.4916806,4
175048941,N19,51.5652742,-0.1298808,4
175049307,PH1,56.4224093,-3.4793955,4
175051239,M17,53.4680132,-2.3205539,4
175052490,LU6,51.8780425,-0.5377989,4
175053494,CF44,51.7182832,-3.4588338,4
175053829,CM23,51.872518,0.1583719,5
175053928,HG5,54.013486,-1.4579043,3
175054187,NN7,52.2082231,-0.9287786,3
175054670,TN16,51.2930684,0.0517089,3
175054785,IV36,57.6097384,-3.6074174,4
175055685,HG5,54.013486,-1.4579043,3
175055845,CH47,53.3964675,-3.1691925,4
175058677,BD10,53.8329365,-1.7248454,3
175059701,GL52,51.9190904,-2.0581561,5
175061525,SP2,51.0750553,-1.8258872,5
175061853,RH12,51.0771886,-0.332156,3
175062002,ST21,52.8725507,-2.2694515,4
175062207,PO19,50.8382074,-0.7783183,3
175062262,B70,52.5209224,-2.0044143,3
175062520,DY10,52.386159,-2.2238755,4
175062827,YO41,53.9705289,-0.9005201,4
175069884,CB1,52.1953297,0.1420534,4
175070391,KT10,51.3695018,-0.3543868,4
175070640,SS14,51.5760335,0.4746395,3
175071108,SY22,52.7568466,-3.186804,4
175074790,WD23,51.6452717,-0.3580507,3
175074864,BB7,53.8708936,-2.3888971,5
175076728,CA6,54.9933146,-2.8949601,4
175081870,WC2B,51.5149298,-0.1204399,5
175084166,NE30,55.0213845,-1.4386877,3
175084843,OX20,51.8558919,-1.3577401,3
175085509,MK17,51.997579,-0.6993948,4
175086485,HU2,53.7507551,-0.3406848,5
175087760,SY16,52.5206495,-3.3122813,3
204100212,NR32,52.489723,1.7315777,3
204101194,S9,53.3981645,-1.4178388,4
204101456,WR11,52.0958405,-1.9290168,4
204101807,PO9,50.8634319,-0.9839667,3
204101811,SK12,53.3514172,-2.0924709,4
204101941,BA4,51.1724351,-2.5320463,3
204102072,BH1,50.7249204,-1.8602459,4
204102829,GL12,51.6242009,-2.3889711,4
204103092,CO11,51.942012,1.0767083,4
204103384,TS18,54.5609693,-1.3240632,4
204103814,BS34,51.523502,-2.5667207,3
204104418,SW1A,51.5044592,-0.1321624,4
204105399,CM8,51.8055915,0.6374042,3
204106284,BA14,51.3191164,-2.2025658,3
204106502,BH14,50.7214367,-1.9445851,4
204106843,BN16,50.814554,-0.4957555,4
204108150,OX1,51.7451905,-1.2614253,3
204108363,SL5,51.4056392,-0.6638405,4
204108439,KT1,51.4074987,-0.2982129,4
204108781,SO14,50.9071878,-1.3973862,4
204108808,B3,52.4850123,-1.9024305,4
204108907,CV9,52.5861653,-1.5616215,4
204109167,N3,51.6002281,-0.193929,4
204109209,PA4,55.874849,-4.3953267,3
204109574,ML2,55.7768458,-3.9138139,3
204110005,AB54,57.4540447,-2.761688,4
204110076,CH5,53.2040122,-3.04214,4
204110211,LL57,53.2068931,-4.1118949,4
204114252,BR3,51.4045675,-0.0305611,3
204114745,S80,53.2925801,-1.1521193,3
204115090,WF15,53.7082837,-1.700436,4
204115343,WC1H,51.5268445,-0.1256084,4
204115570,HP2,51.7643313,-0.4522784,4
204115773,TS23,54.6094056,-1.2851796,4
204115994,SP10,51.211413,-1.4845424,4
204116045,SO40,50.9129875,-1.5038949,3
204116420,PL1,50.3705757,-4.154261,4
204117540,RG21,51.2648843,-1.0886279,4
204117617,NR24,52.85878,1.0502847,3
204118066,NG24,53.0696884,-0.7990824,4
204118311,N1,51.5377218,-0.0970473,3
204118838,TW20,51.4274804,-0.5525407,4
204119005,NG8,52.9649766,-1.2134133,4
204119095,S9,53.3981645,-1.4178388,4
204119465,BS23,51.3430959,-2.9718955,4
204119662,PR4,53.7546364,-2.8341777,5
204119835,DA4,51.3885873,0.232219,3
204120712,BN6,50.931059,-0.1555778,4
204120800,DT8,50.8199071,-2.7589018,3
204120999,PE8,52.5217429,-0.4539945,4
204121128,CM8,51.8055915,0.6374042,4
204121543,SO18,50.9241213,-1.3620137,3
204121752,PO10,50.8522374,-0.9293902,4
204121848,BN13,50.8326835,-0.4113838,4
204122024,CT12,51.3433748,1.369083,4
204122535,WA5,53.3990847,-2.6388726,3
204122794,SW14,51.4653809,-0.2669998,5
204122940,BL2,53.5885067,-2.3950838,4
204122975,OX26,51.901173,-1.1544766,4
204123127,CV6,52.4341647,-1.5074757,4
204123285,CT19,51.0890794,1.1679444,4
204124104,DT5,50.5488467,-2.4424653,3
204125154,PL10,50.3452071,-4.2112874,3
204125440,CM22,51.8657844,0.2271806,4
204125500,E1,51.5173859,-0.0595023,3
